,id,host_id,host_since,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,is_location_exact,property_type,room_type,bedrooms,beds,bed_type,price,availability_365
30242,25510480,38863621,2015-07-18,f,1.0,t,Harlem,Manhattan,40.80025,-73.95268,t,Apartment,Private room,1.0,1.0,Real Bed,$85.00,0
30243,25510738,101438864,2016-10-26,t,2.0,t,Upper West Side,Manhattan,40.79558,-73.96242,t,Apartment,Private room,1.0,3.0,Real Bed,$180.00,152
30244,25511717,75110137,2016-05-31,f,1.0,t,Gowanus,Brooklyn,40.684940000000005,-73.9885,t,Apartment,Private room,1.0,1.0,Real Bed,"$1,333.00",365
30245,25512049,2441040,2012-05-22,f,1.0,t,Greenpoint,Brooklyn,40.735459999999996,-73.9581,t,Apartment,Entire home/apt,2.0,1.0,Real Bed,$160.00,26
30248,25515325,4821730,2013-01-23,f,1.0,t,West Village,Manhattan,40.73265,-74.00251999999999,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$175.00,0
30249,25515856,8304377,2013-08-21,f,2.0,t,Upper West Side,Manhattan,40.78239,-73.98156,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$155.00,17
30250,25516958,32703801,2015-05-05,f,1.0,t,Chelsea,Manhattan,40.74326,-74.00278,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$178.00,55
30251,25517197,50249843,2015-12-01,f,1.0,t,SoHo,Manhattan,40.7228,-74.00644,t,Loft,Entire home/apt,2.0,4.0,Real Bed,$350.00,0
30253,25517407,1034976,2011-08-29,f,2.0,t,Williamsburg,Brooklyn,40.71777,-73.95824,t,Apartment,Private room,1.0,1.0,Real Bed,$100.00,43
30258,25519328,66711742,2016-04-11,t,1.0,t,Harlem,Manhattan,40.809779999999996,-73.94408,t,Condominium,Shared room,1.0,5.0,Real Bed,$235.00,0
30260,25519810,1418015,2011-11-17,f,7.0,t,Crown Heights,Brooklyn,40.67692,-73.9531,t,House,Private room,1.0,1.0,Real Bed,$50.00,4
30264,25534630,17581024,2014-07-03,t,2.0,t,Gowanus,Brooklyn,40.67814,-73.98264,t,Apartment,Entire home/apt,2.0,2.0,Real Bed,$150.00,0
30266,25535697,7710878,2013-07-25,f,1.0,t,Harlem,Manhattan,40.80805,-73.9456,t,Apartment,Entire home/apt,2.0,1.0,Real Bed,$163.00,0
30274,25542088,3046221,2012-07-24,f,1.0,t,East Harlem,Manhattan,40.789359999999995,-73.94918,t,Apartment,Private room,1.0,1.0,Real Bed,$35.00,0
30276,25543561,133596333,2017-06-05,t,1.0,t,Kips Bay,Manhattan,40.743829999999996,-73.97798,t,Condominium,Entire home/apt,1.0,1.0,Real Bed,$499.00,129
30281,25548071,36579046,2015-06-23,f,1.0,t,SoHo,Manhattan,40.72092,-74.00018,t,Apartment,Private room,1.0,1.0,Real Bed,$115.00,51
30282,25548615,3828080,2012-10-10,f,1.0,t,Greenwich Village,Manhattan,40.73062,-73.99981,t,Apartment,Private room,1.0,1.0,Real Bed,$199.00,0
30285,25551942,56209329,2016-01-26,f,2.0,t,Flatbush,Brooklyn,40.63998,-73.96108000000001,t,Apartment,Entire home/apt,2.0,4.0,Real Bed,$130.00,6
30295,25583366,14073337,2014-04-09,f,1.0,t,Upper East Side,Manhattan,40.77773,-73.95383000000001,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$180.00,0
30296,25584852,69862540,2016-05-01,t,3.0,t,Washington Heights,Manhattan,40.8395,-73.94156,t,Apartment,Private room,1.0,1.0,Real Bed,$65.00,35
30299,25587783,794878,2011-07-08,f,1.0,t,Bushwick,Brooklyn,40.70783,-73.92143,t,Loft,Private room,1.0,1.0,Real Bed,$150.00,151
30300,25589726,75569180,2016-06-03,f,1.0,t,Bedford-Stuyvesant,Brooklyn,40.68473,-73.92725,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$130.00,0
30311,25618799,21850707,2014-09-27,t,1.0,t,Norwood,Bronx,40.87077,-73.8817,t,Apartment,Shared room,1.0,0.0,Real Bed,$39.00,89
30312,25618970,249006,2010-09-29,t,1.0,t,Williamsburg,Brooklyn,40.7213,-73.96042,t,Loft,Entire home/apt,1.0,1.0,Real Bed,$200.00,10
30314,25619849,3436710,2012-08-31,f,4.0,t,East Village,Manhattan,40.7252,-73.97598,t,Apartment,Private room,1.0,1.0,Real Bed,$100.00,357
30317,25625417,21061846,2014-09-07,f,1.0,t,Ridgewood,Queens,40.69943,-73.90711999999999,t,Apartment,Private room,1.0,1.0,Real Bed,$40.00,0
30326,25660990,11484819,2014-01-20,f,1.0,t,Williamsburg,Brooklyn,40.71638,-73.94093000000001,t,Loft,Private room,1.0,1.0,Real Bed,$80.00,0
30330,25672309,59980195,2016-02-22,f,1.0,t,Gramercy,Manhattan,40.73467,-73.98501,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$225.00,0
30333,25673769,28753907,2015-03-04,t,1.0,t,Astoria,Queens,40.76,-73.90684,t,Apartment,Private room,1.0,1.0,Real Bed,$60.00,305
30336,25674366,9038810,2013-09-24,f,1.0,t,Williamsburg,Brooklyn,40.71577,-73.9553,t,Condominium,Entire home/apt,1.0,1.0,Real Bed,$295.00,0
30338,25675433,4571403,2013-01-03,f,1.0,t,Chinatown,Manhattan,40.71839,-73.99643,t,Apartment,Private room,1.0,0.0,Real Bed,$120.00,7
30341,25677687,6787261,2013-06-07,f,2.0,t,Williamsburg,Brooklyn,40.71021,-73.95563,t,Apartment,Private room,1.0,1.0,Real Bed,$66.00,0
30343,25678522,660723,2011-06-03,t,1.0,t,West Village,Manhattan,40.734159999999996,-74.00424,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$186.00,129
30352,25683408,805344,2011-07-11,f,2.0,t,Harlem,Manhattan,40.82414,-73.95139,t,Apartment,Private room,1.0,1.0,Real Bed,$65.00,25
30354,25688649,1557774,2012-01-02,t,2.0,t,Bedford-Stuyvesant,Brooklyn,40.68425,-73.9567,t,Apartment,Entire home/apt,1.0,2.0,Real Bed,$160.00,0
30355,25689024,127345864,2017-04-24,t,2.0,t,East Flatbush,Brooklyn,40.64172,-73.93073000000001,t,Apartment,Entire home/apt,2.0,2.0,Real Bed,$85.00,89
30356,25694039,3970656,2012-10-25,f,1.0,t,Financial District,Manhattan,40.70819,-74.00662,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$200.00,12
30357,25710052,45859780,2015-10-05,f,1.0,t,Bushwick,Brooklyn,40.68785,-73.91360999999999,t,Apartment,Private room,1.0,1.0,Real Bed,$60.00,0
30358,25719044,40119874,2015-07-31,t,2.0,t,Prospect-Lefferts Gardens,Brooklyn,40.662420000000004,-73.94417,t,Apartment,Private room,1.0,1.0,Real Bed,$48.00,0
30361,25721731,2856748,2012-07-07,f,168.0,t,Murray Hill,Manhattan,40.74758,-73.97329,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$225.00,364
30378,25745458,2483350,2012-05-28,f,1.0,t,Greenpoint,Brooklyn,40.73503,-73.9547,t,Apartment,Entire home/apt,2.0,2.0,Real Bed,$130.00,0
30379,25752683,37239193,2015-07-01,f,1.0,t,Chelsea,Manhattan,40.740159999999996,-73.99902,t,House,Entire home/apt,1.0,1.0,Real Bed,$199.00,0
30385,25767363,2152359,2012-04-16,f,1.0,t,Bushwick,Brooklyn,40.69905,-73.92466,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$220.00,0
30386,25767382,11309938,2014-01-14,f,1.0,t,Williamsburg,Brooklyn,40.7128,-73.96244,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$135.00,263
30388,25769883,1317353,2011-10-20,f,1.0,t,Bedford-Stuyvesant,Brooklyn,40.681740000000005,-73.94436999999999,t,Apartment,Private room,1.0,1.0,Real Bed,$89.00,146
30390,25771285,8124038,2013-08-13,t,1.0,t,Harlem,Manhattan,40.82823,-73.93925,t,Apartment,Private room,1.0,1.0,Real Bed,$45.00,53
30393,25773391,3687035,2012-09-26,f,1.0,t,Fort Greene,Brooklyn,40.68464,-73.97094,t,Apartment,Private room,1.0,1.0,Real Bed,$75.00,29
30394,25774787,61981690,2016-03-07,t,1.0,t,Upper East Side,Manhattan,40.7752,-73.95572,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$189.00,66
30399,25779152,1395940,2011-11-11,f,1.0,t,Bedford-Stuyvesant,Brooklyn,40.68202,-73.92151,t,Apartment,Entire home/apt,2.0,2.0,Real Bed,$165.00,61
30403,25780953,2572082,2012-06-07,f,1.0,t,West Village,Manhattan,40.73492,-74.00418,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$250.00,134
30415,25798517,6726656,2013-06-03,t,3.0,t,Bushwick,Brooklyn,40.70117,-73.92545,t,Apartment,Private room,1.0,1.0,Real Bed,$50.00,39
30418,25799803,11767749,2014-01-29,f,1.0,t,Williamsburg,Brooklyn,40.7137,-73.96674,t,Loft,Private room,1.0,1.0,Real Bed,$95.00,120
30422,25802560,3543204,2012-09-11,t,1.0,t,Bushwick,Brooklyn,40.704,-73.91492,t,Apartment,Private room,1.0,1.0,Real Bed,$75.00,289
30423,25802893,5772223,2013-04-04,f,1.0,t,Borough Park,Brooklyn,40.64512,-73.99839,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$100.00,38
30424,25803113,69563112,2016-04-29,f,1.0,t,Harlem,Manhattan,40.81279,-73.95208000000001,t,Apartment,Private room,1.0,1.0,Real Bed,$80.00,0
