,id,host_id,host_since,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,is_location_exact,property_type,room_type,bedrooms,beds,bed_type,price,availability_365
2460,17823948,743732,2011-06-25,f,1.0,t,Bedford-Stuyvesant,Brooklyn,40.68846442177258,-73.94206924477169,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$100.00,310
2465,13236148,33402262,2015-05-14,t,1.0,t,Bedford-Stuyvesant,Brooklyn,40.68377735440694,-73.9411772568552,t,Apartment,Entire home/apt,1.0,4.0,Real Bed,$155.00,61
2467,13891670,22861607,2014-10-22,f,1.0,t,Bedford-Stuyvesant,Brooklyn,40.68374202020848,-73.95012245585555,t,Apartment,Private room,1.0,1.0,Real Bed,$41.00,0
2472,8780061,2103052,2012-04-09,f,1.0,t,Bedford-Stuyvesant,Brooklyn,40.69408037718625,-73.931205529776,t,Apartment,Private room,1.0,1.0,Real Bed,$57.00,0
2474,6420850,2216353,2012-04-24,f,1.0,t,Bedford-Stuyvesant,Brooklyn,40.69435304946079,-73.93294248321546,t,House,Private room,1.0,1.0,Real Bed,$100.00,0
2475,14373955,44348540,2015-09-16,f,1.0,t,Bedford-Stuyvesant,Brooklyn,40.6827926362595,-73.93941643585653,t,Other,Private room,1.0,1.0,Real Bed,$78.00,362
2476,3144135,10835806,2013-12-26,t,1.0,t,Bedford-Stuyvesant,Brooklyn,40.682081048724925,-73.92993928385141,t,Apartment,Entire home/apt,2.0,3.0,Real Bed,$185.00,331
2477,1331960,2671491,2012-06-18,f,1.0,t,Bedford-Stuyvesant,Brooklyn,40.698111728712725,-73.9555692356836,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$150.00,296
2485,15989547,7380558,2013-07-09,f,1.0,t,Bedford-Stuyvesant,Brooklyn,40.687238781823204,-73.95068052804413,t,Apartment,Private room,1.0,1.0,Real Bed,$41.00,0
2487,17803757,67954495,2016-04-19,f,10.0,t,Bedford-Stuyvesant,Brooklyn,40.695186709675866,-73.93366800186314,t,House,Private room,1.0,1.0,Real Bed,$69.00,90
