,id,host_id,host_since,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,is_location_exact,property_type,room_type,bedrooms,beds,bed_type,price,availability_365
3669,2514847,10138767,2013-11-20,t,5.0,t,Lower East Side,Manhattan,40.71475,-73.98388,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$380.00,364
3671,2515876,12878653,2014-03-06,f,3.0,t,Astoria,Queens,40.76392,-73.90965,t,Apartment,Private room,1.0,1.0,Real Bed,$49.00,302
3672,2516430,10440985,2013-12-04,f,1.0,t,Astoria,Queens,40.758790000000005,-73.91185,t,Apartment,Private room,1.0,1.0,Real Bed,$50.00,0
3673,2517989,9229424,2013-10-04,f,1.0,t,Nolita,Manhattan,40.72276,-73.99499,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$145.00,0
3674,2518907,10264377,2013-11-26,f,1.0,t,East Village,Manhattan,40.73101,-73.98935999999999,t,Apartment,Entire home/apt,1.0,3.0,Real Bed,$245.00,0
3676,2519770,12899510,2014-03-07,f,1.0,t,Ditmars Steinway,Queens,40.778040000000004,-73.91623,t,Apartment,Entire home/apt,2.0,3.0,Real Bed,$150.00,0
3677,2519879,10149453,2013-11-20,f,1.0,t,Lower East Side,Manhattan,40.71934,-73.98196,t,Apartment,Private room,1.0,1.0,Real Bed,$110.00,0
3679,2521670,6723969,2013-06-03,f,1.0,t,Crown Heights,Brooklyn,40.675709999999995,-73.95161,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$60.00,0
3681,2523629,12921356,2014-03-08,f,1.0,t,South Slope,Brooklyn,40.66517,-73.98637,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$165.00,0
3682,2524034,8288419,2013-08-20,f,11.0,t,Borough Park,Brooklyn,40.644259999999996,-73.99555,t,House,Private room,1.0,1.0,Real Bed,$53.00,270
3683,2524058,918543,2011-08-03,f,1.0,t,East Village,Manhattan,40.72314,-73.98491,t,Apartment,Entire home/apt,1.0,2.0,Real Bed,$160.00,0
3684,2524213,8288419,2013-08-20,f,11.0,t,Borough Park,Brooklyn,40.64601,-73.99765,t,House,Private room,1.0,1.0,Real Bed,$38.00,357
3685,2524228,8288419,2013-08-20,f,11.0,t,Borough Park,Brooklyn,40.64447,-73.99574,t,House,Private room,1.0,1.0,Real Bed,$49.00,180
3686,2524451,8288419,2013-08-20,f,11.0,t,Borough Park,Brooklyn,40.64492,-73.99611999999999,t,House,Private room,1.0,2.0,Real Bed,$47.00,270
3687,2524658,1091832,2011-08-31,f,1.0,t,Bushwick,Brooklyn,40.69728,-73.93066,t,Loft,Entire home/apt,1.0,1.0,Real Bed,$127.00,38
3688,2525956,7365834,2013-07-08,f,4.0,t,Theater District,Manhattan,40.76084,-73.98366999999999,t,Apartment,Entire home/apt,1.0,2.0,Real Bed,$129.00,0
3689,2526152,11825464,2014-01-31,f,1.0,t,Crown Heights,Brooklyn,40.67901,-73.96236999999999,t,Apartment,Private room,1.0,1.0,Real Bed,$105.00,362
3695,2532443,4636483,2013-01-08,f,1.0,t,Sunset Park,Brooklyn,40.63747,-74.01153000000001,t,Condominium,Private room,1.0,1.0,Real Bed,$54.00,362
3696,2532873,12972780,2014-03-10,f,2.0,t,Astoria,Queens,40.76163,-73.91783000000001,t,Apartment,Private room,1.0,1.0,Real Bed,$100.00,0
3697,2536005,9426702,2013-10-14,f,1.0,t,Battery Park City,Manhattan,40.70657,-74.01675999999999,t,Apartment,Private room,1.0,1.0,Real Bed,$91.00,0
3698,2537390,4870868,2013-01-27,f,1.0,t,Harlem,Manhattan,40.82002,-73.9533,t,Apartment,Private room,1.0,1.0,Real Bed,$88.00,88
3699,2538248,9743617,2013-10-31,f,2.0,t,Harlem,Manhattan,40.81472,-73.94291,t,Apartment,Entire home/apt,1.0,2.0,Real Bed,$124.00,0
3700,2539759,4358702,2012-12-08,f,1.0,t,Harlem,Manhattan,40.82277,-73.94981,t,Apartment,Private room,1.0,1.0,Real Bed,$200.00,0
3701,2540173,7821383,2013-07-30,f,1.0,t,Prospect Heights,Brooklyn,40.67454,-73.96803,t,House,Entire home/apt,4.0,5.0,Real Bed,$550.00,0
3703,2546363,13037911,2014-03-11,f,2.0,t,Williamsburg,Brooklyn,40.71886,-73.9586,t,Apartment,Private room,1.0,1.0,Real Bed,$200.00,365
3706,2552606,13068601,2014-03-12,f,1.0,t,Morningside Heights,Manhattan,40.8075,-73.95844,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$99.00,0
3707,2554110,7132792,2013-06-26,f,1.0,t,Gramercy,Manhattan,40.73237,-73.98288000000001,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$130.00,0
3710,2559129,4912237,2013-01-30,f,1.0,t,Hell's Kitchen,Manhattan,40.76791,-73.98735,t,Apartment,Private room,1.0,2.0,Real Bed,$95.00,0
3711,2560559,2766490,2012-06-27,f,1.0,t,Crown Heights,Brooklyn,40.68027,-73.96379,t,Apartment,Private room,1.0,1.0,Real Bed,$50.00,0
3712,2563135,6754169,2013-06-05,f,2.0,t,Williamsburg,Brooklyn,40.71685,-73.94246,t,Apartment,Private room,1.0,1.0,Real Bed,$100.00,2
3713,2563440,8785876,2013-09-12,t,1.0,t,Harlem,Manhattan,40.8235,-73.95144,t,Apartment,Private room,1.0,1.0,Real Bed,$68.00,74
3714,2563611,1163315,2011-09-15,t,2.0,t,Harlem,Manhattan,40.8029,-73.95694,t,Apartment,Private room,1.0,1.0,Real Bed,$104.00,73
3715,2563764,13125674,2014-03-14,f,1.0,t,Flatbush,Brooklyn,40.645759999999996,-73.95871,t,Apartment,Private room,1.0,1.0,Real Bed,$30.00,0
3716,2563997,13067214,2014-03-12,f,1.0,t,Clinton Hill,Brooklyn,40.6842,-73.9636,t,Townhouse,Entire home/apt,3.0,4.0,Real Bed,$595.00,175
3717,2565087,13132515,2014-03-14,f,1.0,t,Williamsburg,Brooklyn,40.70819,-73.94813,t,Apartment,Private room,1.0,1.0,Real Bed,$65.00,0
3719,2569629,13156754,2014-03-15,f,1.0,t,Boerum Hill,Brooklyn,40.68611,-73.99031,t,Apartment,Entire home/apt,2.0,2.0,Real Bed,$250.00,87
3720,2569808,10302140,2013-11-27,f,1.0,t,Williamsburg,Brooklyn,40.71075,-73.95676,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$125.00,3
3721,2570488,153675,2010-06-27,t,2.0,t,East Village,Manhattan,40.731120000000004,-73.98558,t,Apartment,Private room,1.0,1.0,Real Bed,$90.00,78
3722,2570561,1676600,2012-01-30,f,1.0,t,Washington Heights,Manhattan,40.843090000000004,-73.94126999999999,t,Apartment,Private room,1.0,1.0,Real Bed,$90.00,0
3724,2571283,5140244,2013-02-19,f,2.0,t,Upper West Side,Manhattan,40.78283,-73.97206,t,Apartment,Entire home/apt,2.0,1.0,Real Bed,$199.00,0
3725,2574386,9090698,2013-09-27,f,1.0,t,Chelsea,Manhattan,40.743109999999994,-74.00718,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$275.00,365
3728,2582812,13225047,2014-03-17,f,3.0,t,Williamsburg,Brooklyn,40.71997,-73.95945,t,Apartment,Private room,1.0,1.0,Real Bed,$60.00,0
3729,2584258,4612212,2013-01-06,f,1.0,t,Bushwick,Brooklyn,40.69304,-73.92079,t,Apartment,Private room,1.0,2.0,Real Bed,$36.00,0
3730,2586484,6970030,2013-06-17,f,1.0,t,Harlem,Manhattan,40.80546,-73.95221,t,Apartment,Private room,1.0,1.0,Real Bed,$85.00,32
3731,2586794,2132620,2012-04-13,f,1.0,t,Crown Heights,Brooklyn,40.676559999999995,-73.95825,t,Apartment,Private room,1.0,1.0,Real Bed,$85.00,0
3733,2590590,727585,2011-06-21,t,2.0,t,Bedford-Stuyvesant,Brooklyn,40.6883,-73.95644,t,Guest suite,Entire home/apt,1.0,2.0,Real Bed,$92.00,202
