,id,host_id,host_since,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,is_location_exact,property_type,room_type,bedrooms,beds,bed_type,price,availability_365
10460,14087436,6855777,2013-06-11,f,1.0,t,Crown Heights,Brooklyn,40.665934223895,-73.95446312292728,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$96.00,252
10462,13478138,1844513,2012-03-02,f,1.0,t,Crown Heights,Brooklyn,40.676419938522294,-73.93022820136984,t,Condominium,Private room,1.0,1.0,Real Bed,$99.00,178
10465,15071519,73046105,2016-05-20,f,1.0,t,Crown Heights,Brooklyn,40.670458446916726,-73.94156247076587,t,Apartment,Entire home/apt,2.0,4.0,Real Bed,$105.00,0
10468,10746511,55558315,2016-01-21,f,1.0,t,Crown Heights,Brooklyn,40.67130192149063,-73.9560301430303,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$120.00,0
10469,4127402,21336880,2014-09-14,f,1.0,t,Crown Heights,Brooklyn,40.67821839645187,-73.95883125711133,t,Apartment,Entire home/apt,2.0,2.0,Real Bed,$150.00,0
10470,11974135,116382,2010-05-01,f,7.0,t,Crown Heights,Brooklyn,40.670297072435815,-73.94097847447644,t,House,Private room,1.0,1.0,Real Bed,$51.00,335
10471,16362150,5659683,2013-03-28,f,1.0,t,Crown Heights,Brooklyn,40.677685905362786,-73.95308502225173,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$100.00,1
10472,14024651,6218023,2013-05-04,f,2.0,t,Crown Heights,Brooklyn,40.676408530199495,-73.94354173295127,t,Apartment,Private room,1.0,2.0,Real Bed,$60.00,0
10473,4784037,824463,2011-07-15,f,1.0,t,Crown Heights,Brooklyn,40.67598017403368,-73.9476531437442,t,Apartment,Entire home/apt,1.0,4.0,Real Bed,$120.00,61
10474,9490638,21055318,2014-09-07,f,1.0,t,Crown Heights,Brooklyn,40.66893763494133,-73.93947381157398,t,House,Private room,1.0,1.0,Real Bed,$45.00,365
10476,2716889,13503154,2014-03-24,f,2.0,t,Crown Heights,Brooklyn,40.672028115493845,-73.93493716126281,t,Apartment,Entire home/apt,2.0,3.0,Real Bed,$155.00,364
10479,3538463,17813714,2014-07-08,t,2.0,t,Crown Heights,Brooklyn,40.670027282526924,-73.95265493385186,t,House,Entire home/apt,1.0,1.0,Real Bed,$120.00,206
10480,4324166,11818012,2014-01-31,f,3.0,t,Crown Heights,Brooklyn,40.67952389231382,-73.96397898022424,t,Apartment,Private room,1.0,1.0,Real Bed,$55.00,345
10481,64107,313317,2010-12-08,t,1.0,t,Crown Heights,Brooklyn,40.67780250962486,-73.94339455856279,t,House,Private room,1.0,1.0,Real Bed,$100.00,332
10483,8255964,18183596,2014-07-16,f,2.0,t,Crown Heights,Brooklyn,40.6774268995835,-73.95522679113621,t,Apartment,Entire home/apt,1.0,2.0,Real Bed,$150.00,365
10486,15268575,219970,2010-09-01,f,2.0,t,Crown Heights,Brooklyn,40.676419184598714,-73.96100022125086,t,Apartment,Private room,1.0,1.0,Real Bed,$45.00,0
10489,9237840,1808006,2012-02-25,f,1.0,t,Crown Heights,Brooklyn,40.66454088496676,-73.9610748855045,t,Apartment,Private room,1.0,1.0,Real Bed,$65.00,282
10493,13693976,79820757,2016-06-25,f,1.0,t,Crown Heights,Brooklyn,40.67610963108945,-73.94106068978165,t,Apartment,Entire home/apt,4.0,5.0,Real Bed,$300.00,243
10495,4322258,4226504,2012-11-23,f,1.0,t,Crown Heights,Brooklyn,40.67828050261512,-73.94957155857675,t,Apartment,Entire home/apt,1.0,2.0,Real Bed,$114.00,365
10497,14283546,84141923,2016-07-16,t,2.0,t,Crown Heights,Brooklyn,40.66902059517851,-73.93770714505898,t,Apartment,Private room,1.0,1.0,Real Bed,$50.00,23
10499,15462245,26495690,2015-01-21,f,1.0,t,Crown Heights,Brooklyn,40.67140599053357,-73.92642978250514,t,Apartment,Entire home/apt,1.0,2.0,Real Bed,$90.00,163
10501,716535,3692684,2012-09-27,f,1.0,t,Crown Heights,Brooklyn,40.67642036693572,-73.95496410378554,t,Apartment,Entire home/apt,2.0,2.0,Real Bed,$295.00,252
10502,7664062,31250964,2015-04-14,f,1.0,t,Crown Heights,Brooklyn,40.67033559221913,-73.95847642210154,t,Apartment,Private room,1.0,1.0,Real Bed,$75.00,0
10503,15069564,4095135,2012-11-08,f,2.0,t,Crown Heights,Brooklyn,40.671655874464996,-73.96089814784963,t,Apartment,Private room,1.0,1.0,Real Bed,$110.00,180
10504,12396603,20942935,2014-09-04,f,1.0,t,Crown Heights,Brooklyn,40.675289384384094,-73.93670969660499,t,Apartment,Private room,1.0,1.0,Real Bed,$66.00,0
10506,7400486,32604265,2015-05-04,t,1.0,t,Crown Heights,Brooklyn,40.676473256042854,-73.94813054816574,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$119.00,63
10507,7729804,18066933,2014-07-13,t,2.0,t,Crown Heights,Brooklyn,40.67517114782813,-73.94421389181646,t,Apartment,Private room,1.0,2.0,Real Bed,$50.00,0
10509,10153267,52110593,2015-12-23,f,1.0,t,Crown Heights,Brooklyn,40.67438282566023,-73.94861976717822,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$100.00,350
10512,7072975,3010260,2012-07-21,f,1.0,t,Crown Heights,Brooklyn,40.66918815157837,-73.95165634281669,t,Apartment,Private room,1.0,1.0,Real Bed,$79.00,80
10516,649903,3262771,2012-08-14,f,1.0,t,Crown Heights,Brooklyn,40.67189418246719,-73.93499359457958,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$90.00,0
10520,15858747,4412214,2012-12-15,f,1.0,t,Crown Heights,Brooklyn,40.67366669540889,-73.95939219592059,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$190.00,0
10521,13952592,8205843,2013-08-16,f,1.0,t,Crown Heights,Brooklyn,40.67005830898459,-73.94346815773864,t,House,Entire home/apt,2.0,4.0,Real Bed,$200.00,0
10523,11922306,63623329,2016-03-19,f,1.0,t,Crown Heights,Brooklyn,40.678318701994115,-73.95127672442679,t,Apartment,Private room,1.0,1.0,Real Bed,$60.00,0
10524,3400739,17151343,2014-06-23,f,1.0,t,Crown Heights,Brooklyn,40.67131689606008,-73.93249508252748,t,Apartment,Private room,1.0,1.0,Real Bed,$78.00,0
10525,14869440,7128634,2013-06-26,f,1.0,t,Crown Heights,Brooklyn,40.675409040479906,-73.95221238039599,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$130.00,73
