,id,host_id,host_since,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,is_location_exact,property_type,room_type,bedrooms,beds,bed_type,price,availability_365
33292,12467439,10332093,2013-11-29,f,1.0,t,Upper East Side,Manhattan,40.779355779603094,-73.94850738453631,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$92.00,0
33295,17252533,13018073,2014-03-11,f,1.0,t,Upper East Side,Manhattan,40.7721957191009,-73.94694042943205,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$100.00,213
33299,3463385,10698270,2013-12-18,f,2.0,t,Upper East Side,Manhattan,40.76717467534038,-73.9553235455322,t,Apartment,Private room,1.0,1.0,Real Bed,$95.00,226
33300,11602886,11044537,2014-01-05,f,2.0,t,Upper East Side,Manhattan,40.76607418210372,-73.96568301973178,t,Apartment,Entire home/apt,1.0,2.0,Real Bed,$185.00,86
33302,17495518,118554120,2017-02-28,f,1.0,t,Upper East Side,Manhattan,40.780730498586756,-73.95012548112045,t,Apartment,Private room,1.0,1.0,Real Bed,$122.00,8
33303,5077231,7021059,2013-06-20,f,3.0,t,Upper East Side,Manhattan,40.77636441286726,-73.9509883465878,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$150.00,0
33305,13829083,43139374,2015-09-02,f,1.0,t,Upper East Side,Manhattan,40.77825362298739,-73.95023711584967,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$200.00,17
33311,12988630,50356994,2015-12-02,f,1.0,t,Upper East Side,Manhattan,40.78076157981984,-73.9480840741398,t,Apartment,Entire home/apt,1.0,4.0,Real Bed,$199.00,260
33313,14167287,3602785,2012-09-18,f,1.0,t,Upper East Side,Manhattan,40.76665777751368,-73.95506919036238,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$65.00,0
33314,7483853,33983182,2015-05-22,f,1.0,t,Upper East Side,Manhattan,40.78235273997757,-73.95058264426058,t,Apartment,Private room,1.0,1.0,Real Bed,$54.00,0
33315,12855469,70251988,2016-05-03,t,1.0,t,Upper East Side,Manhattan,40.781472174089814,-73.95283583175885,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$210.00,276
33318,2237981,2261678,2012-05-01,f,1.0,t,Upper East Side,Manhattan,40.773312590932704,-73.95066709454477,t,Apartment,Entire home/apt,1.0,2.0,Real Bed,$250.00,0
33319,6170405,31985757,2015-04-26,f,1.0,t,Upper East Side,Manhattan,40.76224663788473,-73.96181609510766,t,Apartment,Entire home/apt,2.0,3.0,Real Bed,$349.00,309
33320,4859716,3449749,2012-09-02,f,1.0,t,Upper East Side,Manhattan,40.76202973080351,-73.96182930008096,t,Apartment,Private room,1.0,1.0,Real Bed,$130.00,0
33326,3281660,418289,2011-03-02,f,1.0,t,Upper East Side,Manhattan,40.77448927631853,-73.96227857596669,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$177.00,0
33328,13505219,39269801,2015-07-22,f,2.0,t,Upper East Side,Manhattan,40.769467090526035,-73.9527399272883,t,Apartment,Entire home/apt,2.0,2.0,Real Bed,$200.00,32
33335,4197760,21777274,2014-09-25,t,2.0,t,Upper East Side,Manhattan,40.76168966460468,-73.9568226569583,t,Apartment,Entire home/apt,1.0,2.0,Real Bed,$175.00,271
33336,265506,1392440,2011-11-10,f,1.0,t,Upper East Side,Manhattan,40.761283544670746,-73.96463057801449,t,Apartment,Entire home/apt,2.0,3.0,Real Bed,$485.00,0
33340,1837603,3972617,2012-10-25,f,1.0,t,Upper East Side,Manhattan,40.779442762357725,-73.9457701134223,t,Apartment,Private room,1.0,1.0,Real Bed,$90.00,354
33343,8391096,5338040,2015-09-06,f,1.0,t,Upper East Side,Manhattan,40.77372069337097,-73.9480280873868,t,Apartment,Private room,1.0,2.0,Real Bed,$185.00,363
33344,15863434,26362120,2015-01-19,f,2.0,t,Upper East Side,Manhattan,40.780775640523636,-73.95147107244748,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$118.00,154
33346,8653639,45478584,2015-09-30,f,1.0,t,Upper East Side,Manhattan,40.78049714114681,-73.94903070155911,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$175.00,0
33347,789298,778052,2011-07-04,f,1.0,t,Upper East Side,Manhattan,40.78279530224509,-73.95433425698789,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$120.00,0
33354,657217,3312204,2012-08-19,f,2.0,t,Upper East Side,Manhattan,40.777900334357994,-73.95245863421806,t,Apartment,Private room,1.0,1.0,Real Bed,$79.00,220
33355,4589307,23789773,2014-11-15,f,2.0,t,Upper East Side,Manhattan,40.77163308905935,-73.96095318698876,t,Apartment,Entire home/apt,1.0,2.0,Real Bed,$199.00,49
33359,12845862,7443904,2013-07-12,t,1.0,t,Upper East Side,Manhattan,40.779121239250095,-73.95593910970123,t,Apartment,Private room,1.0,1.0,Real Bed,$100.00,19
33363,16710935,15807180,2014-05-21,f,1.0,t,Upper West Side,Manhattan,40.78692363629128,-73.97094796706206,t,Apartment,Entire home/apt,1.0,2.0,Real Bed,$399.00,90
33364,16481497,36824919,2015-06-26,f,1.0,t,Upper West Side,Manhattan,40.802776161133345,-73.9659200044396,t,Apartment,Private room,1.0,1.0,Real Bed,$79.00,0
33367,9732219,50218432,2015-11-30,f,1.0,t,Upper West Side,Manhattan,40.78850688164678,-73.97584281262972,t,Apartment,Entire home/apt,2.0,3.0,Real Bed,$650.00,359
33370,1284189,6864300,2013-06-11,f,1.0,t,Upper West Side,Manhattan,40.78424926400928,-73.97357936253816,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$200.00,271
33372,557902,1475239,2011-12-05,f,1.0,t,Upper West Side,Manhattan,40.78426588485689,-73.97133003308484,t,Loft,Entire home/apt,1.0,3.0,Real Bed,$110.00,7
33375,4233705,11243583,2014-01-12,f,1.0,t,Upper West Side,Manhattan,40.77715158088915,-73.9823469582875,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$260.00,0
33376,13928304,82746113,2016-07-09,f,1.0,t,Upper West Side,Manhattan,40.78706855990013,-73.97024246354567,t,Apartment,Entire home/apt,1.0,2.0,Real Bed,$100.00,0
33377,2137111,10906528,2013-12-30,f,1.0,t,Upper West Side,Manhattan,40.786887749972074,-73.96985290076383,t,Apartment,Entire home/apt,1.0,1.0,Real Bed,$225.00,0
33378,953342,3600695,2012-09-18,f,2.0,t,Upper West Side,Manhattan,40.79103040187911,-73.97270275849674,t,Apartment,Private room,1.0,2.0,Real Bed,$89.00,364
33379,7838854,12650039,2014-02-27,f,1.0,t,Upper West Side,Manhattan,40.78718273857643,-73.97520523297358,t,Apartment,Entire home/apt,1.0,2.0,Real Bed,$150.00,0
